 0.01720209895D0
 3498.790D0
 28.0512D0 169.5291D0
   0.1577287066246D+08   0.6666666666667D+07   0.9433962264151D+06   0.5094243504840D+06   0.2314814814815D+06   0.4225863977890D+04   0.3333333333333D+08   0.3225806451613D+06   0.2858130953844D-03
   0.6667061728782D+01   0.4585536751534D+01   0.3328306445055D+01   0.2295717646433D+01   0.1390853715957D+01   0.3940425676910D+00   0.2953088138695D+00   0.7920197763193D-01   0.5839811452566D-03
    1    1
    2   0.5891806577851199D-03   0.5200631553632359D+01   0.2671361306659218D+00  0  0  0  0  0  0  0  0
    3   0.1049859753280688D-03   0.5351281511938252D+01   0.1019765304355295D+02  0  0  0  0  0  0  0  0
    4   0.4944669618681220D-04   0.1523342558334271D+01   0.1010860766666431D+02  0  0  0  0  0  0  0  0
    5   0.4772345678736420D-04   0.6037627811952441D+01   0.1028669842044159D+02  0  0  0  0  0  0  0  0
    6   0.3432162123697680D-04   0.4514285253618171D+01   0.1780907537772812D+00  0  0  0  0  0  0  0  0
    7   0.2555821179926381D-04   0.1392030537400290D+01   0.5765338167707570D-01  0  0  0  0  0  0  0  0
    8   0.1717434823483564D-04   0.2078376837414479D+01   0.1466987585657163D+00  0  0  0  0  0  0  0  0
    9   0.1697093421514454D-04   0.2901388464811505D+00   0.4452268844432029D+00  0  0  0  0  0  0  0  0
   10   0.1323271931613666D-04   0.1353354662656465D+01   0.2985281258774867D+00  0  0  0  0  0  0  0  0
   11   0.1267528991884128D-04   0.3196049795082991D+01   0.6492496159975472D-01  0  0  0  0  0  0  0  0
   12   0.1266151790256666D-04   0.5906315791018461D+01   0.2357441354543569D+00  0  0  0  0  0  0  0  0
   13   0.1157195347749026D-04   0.5165512349511074D+01   0.8177379696596157D-01  0  0  0  0  0  0  0  0
   14   0.1080021159829085D-04   0.5577501069793485D+01   0.3139199521156488D-01  0  0  0  0  0  0  0  0
   15   0.1052724821924284D-04   0.3978588911909874D+01   0.1001956228977567D+02  0  0  0  0  0  0  0  0
   16   0.1001557835312868D-04   0.6318891585209909D+00   0.2412041528888587D-01  0  0  0  0  0  0  0  0
   17   0.9867772453097199D-05   0.4407888047870434D+00   0.1037574379733023D+02  0  0  0  0  0  0  0  0
   18   0.9845954273310880D-05   0.5631958211286683D+01   0.9631695681131960D-01  0  0  0  0  0  0  0  0
   19   0.9815613284418477D-05   0.6263847369807674D+01   0.1204373721002055D+00  0  0  0  0  0  0  0  0
